name,lat,long,team,teamName,cityCenterLat,cityCenterLong,cityZoom,desc,(separate writers with ///)
Rogers Centre,43.641438,-79.389353,TOR,Toronto Blue Jays,43.6532372,-79.4072797,12,"Pittsburgh is a city made up of many nationalities, the majority of the residents being descendents of countries in Europe. Because of that, the chefs at PNC Park have started to incorporate these flavors into some of the menu items. Sure, you can get nachos or a pretzel, but don’t you want to try something like the pulled pork pierogi stacker, found at Manny’s BBQ behind centerfield? As a bonus, during most games Manny Sanguillen is there signing autographs too.
///
Pittsburghers love french fries; on their own, on a salad or on a sandwich. If you are in the mood for a Pittsburgh staple, head over to Primanti Brothers behind section 110 to get a sandwich that will have the french fries and coleslaw jammed right into the middle of it.  — Ethan Obstarcyzk
///
 For my money, the best buy at PNC Park is the house-smoked Pulled Pork Pierogi Stacker. Though Pittsburgh is far too well-known for its Primanti Bros. sandwiches — french fries and thinly sliced deli meat piled high on huge slabs of white bread — what could be more Pittsburgh than house-smoked pulled pork, caramelized onions, and a couple pierogis stacked inside a salty pretzel bun slathered with onion glaze? It’s been a fan favorite for years now. Stop by Manny’s BBQ in center field to give the pulled pork and pierogi stacker a try. The BBQ stand is named after Manny Sanguillen, a former Pirates catcher and three-time All-Star who is a familiar, smiling, everyday staple at Pirates home games. — Stephen Nesbitt
///
As you get down the 1B/RF concourse at PNC Park (as in, moving from home plate to the right field corner), there's a stretch of local food places that's usually where I find myself eating: Primanti Brothers, Quaker Steak and Lube, and I believe BRGR are all there. It's hard to beat Manny Sanguillen's BBQ out in centerfield behind the bullpens, though, because the pulled pork sandwiches are excellent and Manny himself occasionally hangs out there to sign tickets, bobbleheads, programs, whatever else you might have.  — Pat Lackey
///
The Federal Street Grille (first level, section 116, behind home plate. There are other locations, but this one I know best) does a killer gigantic footlong hot dog smothered in onions and peppers. Its a really, really legitimate ballpark dog, one of the best I've ever had. That would be my top recommendation. There are some other worthy contenders, including the Pittsburgh Pulled Pork Pierogi Stacker (Pierogis are a Pittsburgh favorite) and the BRGR hamburger and shake (located in the same area as the Federal Street Grill). The former is a very unique, one-of-a-kind food, highly AMERICANtm because it involves stacking unhealthy, doughy, buttery, pierogies on top of pork. The latter is just a damn solid hamburger, well above your average ballpark fair. All told, though, for my money the giant hot dog is king. — Paul Johnson",
AT&T Park,37.778595,-122.38927,SF,San Francisco Giants,37.7576948,-122.4726193,13,,
Dodger Stadium,34.072736,-118.240616,LAD,Los Angeles Dodgers,34.0318474,-118.4083263,12,,
Wrigley Field,41.948438,-87.655333,CHC,Chicago Cubs,41.9016557,-87.7455511,11,,
Kauffman Stadium,39.051672,-94.480314,KC,Kansas City Royals,39.0846553,-94.6258697,12,,
Chase Field,33.446191,-112.068715,ARZ,Arizona Diamondbacks,33.4528429,-112.1480808,12,,
Citi Field,40.757088,-73.845821,NYM,New York Mets,40.7634318,-73.9178952,14,,
Minute Maid Park,29.757268,-95.355519,HOU,Houston Astros,29.7489884,-95.3801128,13,,
Busch Stadium,38.622619,-90.192821,STL,St. Louis Cardinals,38.6282746,-90.2659512,13,,
Progressive Field,41.496211,-81.685229,CLE,Cleveland Indians,41.4920926,-81.7123846,14,,
PNC Park,40.446855,-80.005666,PIT,Pittsburgh Pirates,40.4425426,-80.0073648,15,"Pittsburgh is a city made up of many nationalities, the majority of the residents being descendents of countries in Europe. Because of that, the chefs at PNC Park have started to incorporate these flavors into some of the menu items. Sure, you can get nachos or a pretzel, but don’t you want to try something like the pulled pork pierogi stacker, found at Manny’s BBQ behind centerfield? As a bonus, during most games Manny Sanguillen is there signing autographs too.
///
Pittsburghers love french fries; on their own, on a salad or on a sandwich. If you are in the mood for a Pittsburgh staple, head over to Primanti Brothers behind section 110 to get a sandwich that will have the french fries and coleslaw jammed right into the middle of it.  — Ethan Obstarcyzk
///
 For my money, the best buy at PNC Park is the house-smoked Pulled Pork Pierogi Stacker. Though Pittsburgh is far too well-known for its Primanti Bros. sandwiches — french fries and thinly sliced deli meat piled high on huge slabs of white bread — what could be more Pittsburgh than house-smoked pulled pork, caramelized onions, and a couple pierogis stacked inside a salty pretzel bun slathered with onion glaze? It’s been a fan favorite for years now. Stop by Manny’s BBQ in center field to give the pulled pork and pierogi stacker a try. The BBQ stand is named after Manny Sanguillen, a former Pirates catcher and three-time All-Star who is a familiar, smiling, everyday staple at Pirates home games. — Stephen Nesbitt
///
As you get down the 1B/RF concourse at PNC Park (as in, moving from home plate to the right field corner), there's a stretch of local food places that's usually where I find myself eating: Primanti Brothers, Quaker Steak and Lube, and I believe BRGR are all there. It's hard to beat Manny Sanguillen's BBQ out in centerfield behind the bullpens, though, because the pulled pork sandwiches are excellent and Manny himself occasionally hangs out there to sign tickets, bobbleheads, programs, whatever else you might have.  — Pat Lackey
///
The Federal Street Grille (first level, section 116, behind home plate. There are other locations, but this one I know best) does a killer gigantic footlong hot dog smothered in onions and peppers. Its a really, really legitimate ballpark dog, one of the best I've ever had. That would be my top recommendation. There are some other worthy contenders, including the Pittsburgh Pulled Pork Pierogi Stacker (Pierogis are a Pittsburgh favorite) and the BRGR hamburger and shake (located in the same area as the Federal Street Grill). The former is a very unique, one-of-a-kind food, highly AMERICANtm because it involves stacking unhealthy, doughy, buttery, pierogies on top of pork. The latter is just a damn solid hamburger, well above your average ballpark fair. All told, though, for my money the giant hot dog is king. — Paul Johnson",
Ballpark In Arlington,32.751244,-97.082509,TEX,Texas Rangers,32.7576717,-97.0940064,12,,
Comerica Park,42.338998,-83.04852,DET,Detriot Tigers,42.3476747,-83.1499049,13,,
Tropicana Field,27.768225,-82.653392,TB,Tampa Bay Rays,27.8731834,-82.6439947,12,,
Yankee Stadium,40.829643,-73.926174,NYY,New York Yankees,40.8053498,-73.9510298,14,,
Nationals Park,38.87301,-77.007433,WAS,Washington Nationals,38.8860364,-77.0155123,14,,
Fenway Park,42.346676,-71.097218,BOS,Boston Red Sox,42.3532618,-71.0650979,15,,
Angel Stadium of Anaheim,33.800308,-117.882732,LAA,Los Angeles Angels,33.8272761,-117.9945652,13,,
Oriole Park at Camden Yards,39.282888,-76.620614,BAL,Baltimore Orioles,39.2858246,-76.6158193,14,,
Great American Ball Park,39.097931,-84.508151,CIN,Cincinnati Reds,39.1045172,-84.5229417,14,,
Marlins Park,25.778054,-80.219732,MIA,Miami Marlins,25.7533208,-80.2532861,13,,
Safeco Field,47.591429,-122.332345,SEA,Seattle Mariners,47.6039759,-122.3432119,14,,
O.co Coliseum,37.751595,-122.200546,OAK,Oakland Athletics,37.7759263,-122.2402212,13,,
Petco Park,32.707339,-117.157012,SD,San Diego Padres,32.7448287,-117.1921092,13,,
Turner Field,33.734808,-84.389973,ATL,Atlanta Braves,33.7591656,-84.3979336,15,,
Target Field,44.981653,-93.277776,MIN,Minnesota Twins,44.9769023,-93.2787745,14,,
Miller Park,43.027978,-87.97115,MIL,Milwauke Brewers,43.0385762,-87.9584379,13,,
Coors Field,39.755882,-104.994178,COL,Colorado Rockies,39.7485088,-104.9913664,13,,
Citizens Bank Park,39.906057,-75.166495,PHI,Philadelphia Phillies,39.9317775,-75.1672523,13,,
U.S. Cellular Field,41.82989,-87.633485,CHW,Chicago White Sox,41.9016557,-87.7455511,11,,
